1,0.0000001000
2,0.0000006000
3,0.0000006000
5,0.0000003000
7,0.0000004000
10,0.0000006000
13,0.0000006000
17,0.0000007000
22,0.0000010000
28,0.0000011000
36,0.0000013000
46,0.0000017000
58,0.0000021000
73,0.0000029000
92,0.0000034000
116,0.0000046000
146,0.0000086000
183,0.0000066000
230,0.0000085000
288,0.0000124000
361,0.0000152000
452,0.0000171000
566,0.0000262000
708,0.0000401000
886,0.0000363000
1108,0.0000490000
1386,0.0000659000
1733,0.0000798000
2167,0.0000890000
2710,0.0001153000
3388,0.0001484000
4236,0.0001984000
5296,0.0002330000
6621,0.0002972000
8277,0.0003789000
10347,0.0004833000
12935,0.0006117000
16170,0.0007913000
20213,0.0009826000
25267,0.0012346000
31585,0.0016090000
39482,0.0020016000
49353,0.0025372000
61692,0.0033699000
77116,0.0041244000
96396,0.0052460000
120496,0.0067072000
150621,0.0085897000
188277,0.0110054000
235347,0.0133394000
294185,0.0188009000
367732,0.0225201000
459666,0.0278547000
574583,0.0351543000
718230,0.0444640000
897788,0.0578503000
1122236,0.0572782000
1402796,0.0687887000
1753496,0.0714957000
2191871,0.0641223000
2739840,0.0695964000
3424801,0.0801675000
4281002,0.0887204000
5351253,0.1078346000
6689067,0.1141212000
8361335,0.1376805000
10451670,0.1606736000
13064588,0.2097790000
16330736,0.2271114000
20413421,0.2937384000
25516777,0.3268879000
31895972,0.4750244000
39869966,0.5784739000
49837458,0.7313602000
62296823,0.9122760000
77871030,1.0336028000
97338788,1.3963593000
121673486,1.7643731000
152091858,1.8996439000
190114823,2.7239716000
237643530,3.6028410000
297054413,4.3236204000
371318017,5.4597602000
464147522,6.8095507000
580184403,9.0173497000
725230505,10.2819835000
906538132,13.8647461000
1133172666,26.1164218000
