1,0.0000013000
2,0.0000014000
3,0.0000016000
4,0.0000010000
5,0.0000016000
6,0.0000018000
7,0.0000026000
8,0.0000015000
9,0.0000079000
11,0.0000062000
13,0.0000061000
15,0.0000039000
17,0.0000053000
19,0.0000041000
22,0.0000054000
25,0.0000080000
28,0.0000063000
31,0.0000058000
35,0.0000050000
39,0.0000069000
44,0.0000068000
49,0.0000043000
55,0.0000063000
61,0.0000053000
68,0.0000054000
75,0.0000056000
83,0.0000063000
92,0.0000067000
102,0.0000084000
113,0.0000078000
125,0.0000088000
138,0.0000127000
152,0.0000112000
168,0.0000107000
185,0.0000109000
204,0.0000149000
225,0.0000153000
248,0.0000146000
273,0.0000155000
301,0.0000154000
332,0.0000178000
366,0.0000200000
403,0.0000207000
444,0.0000258000
489,0.0000242000
539,0.0000271000
594,0.0000329000
654,0.0000308000
720,0.0000336000
793,0.0000363000
873,0.0000411000
961,0.0000467000
1058,0.0000505000
1164,0.0000522000
1281,0.0000911000
1410,0.0000631000
1552,0.0000694000
1708,0.0000780000
1879,0.0000806000
2068,0.0000886000
2275,0.0001005000
2503,0.0001162000
2754,0.0001191000
3030,0.0001291000
3334,0.0001661000
3668,0.0001566000
4035,0.0001719000
4439,0.0002526000
4884,0.0002095000
5373,0.0002260000
5911,0.0002506000
6503,0.0003455000
7154,0.0003135000
7870,0.0003529000
8658,0.0003633000
9524,0.0009406000
10477,0.0004971000
11525,0.0005109000
12678,0.0005418000
13946,0.0005921000
15341,0.0006838000
16876,0.0004904000
18564,0.0004567000
20421,0.0005732000
22464,0.0005682000
24711,0.0006311000
27183,0.0007173000
29902,0.0008041000
32893,0.0008355000
36183,0.0006805000
39802,0.0007518000
43783,0.0008159000
48162,0.0009169000
52979,0.0009719000
58278,0.0010269000
64106,0.0016801000
70517,0.0012344000
77569,0.0019512000
85327,0.0014555000
93860,0.0014370000
103247,0.0031397000
113572,0.0018102000
124930,0.0018601000
137424,0.0024510000
151167,0.0034852000
166284,0.0024024000
182913,0.0026296000
201205,0.0029560000
221326,0.0031201000
243459,0.0035183000
267806,0.0037208000
294587,0.0042130000
324046,0.0045200000
356451,0.0051114000
392097,0.0056359000
431307,0.0069953000
474438,0.0074066000
521882,0.0084472000
574071,0.0093628000
631479,0.0090195000
694628,0.0108052000
764091,0.0111809000
840501,0.0123661000
924552,0.0142004000
1017008,0.0158047000
1118709,0.0176689000
1230581,0.0198993000
1353640,0.0217714000
1489005,0.0240043000
1637906,0.0238178000
1801697,0.0298983000
1981867,0.0338799000
2180054,0.0315955000
2398060,0.0340389000
2637867,0.0439178000
2901654,0.0584032000
3191820,0.0451615000
3511003,0.0548578000
3862104,0.0567838000
4248315,0.0615260000
4673147,0.0683306000
5140462,0.1103306000
5654509,0.0832537000
6219961,0.0907191000
6841958,0.1229446000
7526154,0.1174146000
8278770,0.1212517000
9106648,0.1344645000
10017313,0.1443046000
11019045,0.2562086000
12120950,0.2519103000
13333046,0.2686272000
14666351,0.2274428000
16132987,0.2290079000
17746286,0.2644749000
19520915,0.2780478000
21473007,0.3207990000
23620308,0.3432623000
25982339,0.3794556000
28580574,0.4124446000
31438632,0.4541436000
34582496,0.4974974000
38040746,0.5514642000
41844821,0.6184774000
46029304,0.6576206000
50632235,0.7309514000
55695459,0.8213831000
61265006,0.8871578000
67391507,0.9790136000
74130658,1.0906654000
81543724,1.2047669000
89698097,1.2852706000
98667907,1.4278700000
108534698,1.6309892000
119388168,1.7451087000
131326985,1.8992265000
144459684,2.1542294000
158905653,2.3311060000
